price_range_fraction,price_sigma_fraction,volatility_multiplier,runs,n_events,self_trade_rate,intercept_rate,mean_wash_leg_volume_share,mean_abs_microprice_offset,mean_normalized_abs_offset,near_center_rate,mean_signed_microprice_offset
0.200000000,0.250000000,0.500000000,90,6606,0.874659401,0.095065092,0.654833148,10.865528045,0.196537237,0.044357977,0.340166564
0.200000000,0.250000000,1.000000000,90,6606,0.874659401,0.095065092,0.654833148,12.168127750,0.196409129,0.038287938,0.236634986
0.200000000,0.250000000,2.000000000,90,6606,0.874659401,0.095065092,0.654833148,12.413764201,0.196422654,0.036575875,0.194173587
0.800000000,0.500000000,0.500000000,90,6606,0.873902513,0.094610960,0.654009155,36.278618096,0.359078750,0.017893263,1.765667747
0.800000000,0.250000000,0.500000000,90,6606,0.873448380,0.095670602,0.654289903,18.903745013,0.196259586,0.031595331,0.913019577
0.800000000,0.250000000,1.000000000,90,6606,0.873297003,0.095065092,0.653913351,29.071044393,0.195468515,0.019455253,1.024945704
0.500000000,0.250000000,1.000000000,90,6606,0.872842870,0.096124735,0.653804813,24.109179783,0.195492308,0.022412451,0.758981287
0.200000000,0.800000000,0.500000000,90,6606,0.872842870,0.097033000,0.654199294,25.141287556,0.445229880,0.017898833,1.120233834
0.500000000,0.250000000,0.500000000,90,6606,0.872691493,0.096124735,0.653928910,17.048730850,0.195537212,0.033618677,0.738284087
0.500000000,0.800000000,0.500000000,90,6606,0.872691493,0.096427490,0.654108512,40.542600604,0.445114543,0.011991902,1.975404518
0.800000000,0.250000000,2.000000000,90,6606,0.872540115,0.095973358,0.653916667,37.508174640,0.195436983,0.012451362,0.730940939
0.500000000,0.500000000,0.500000000,90,6606,0.872388738,0.095821980,0.653735131,32.405863767,0.359066463,0.018671231,1.409745557
0.200000000,0.500000000,0.500000000,90,6606,0.872085982,0.097184378,0.653886672,20.282299773,0.359128336,0.024280156,0.790812863
0.200000000,0.500000000,1.000000000,90,6606,0.872085982,0.097335755,0.653803461,22.609814506,0.359048967,0.021945525,0.680419188
0.200000000,0.500000000,2.000000000,90,6606,0.872085982,0.097335755,0.653803461,22.920441209,0.359053149,0.021634241,0.622592969
0.500000000,0.500000000,1.000000000,90,6606,0.871631850,0.096124735,0.653322699,46.440265253,0.359011407,0.012136300,1.577106463
0.500000000,0.250000000,2.000000000,90,6606,0.871631850,0.096730245,0.653718464,27.994391146,0.195442588,0.017120623,0.484526449
0.200000000,0.800000000,1.000000000,90,6606,0.871631850,0.098092643,0.654051614,28.060528746,0.445220505,0.014474708,1.199429608
0.200000000,0.800000000,2.000000000,90,6606,0.871631850,0.098092643,0.654051614,28.368960475,0.445225163,0.014319066,1.180885859
0.800000000,0.800000000,0.500000000,90,6606,0.870420830,0.098546776,0.653482026,45.413174602,0.445040073,0.011991902,2.416518024
0.500000000,0.500000000,2.000000000,90,6606,0.870118074,0.097487133,0.652701094,52.499803053,0.359010712,0.009180022,1.341733073
0.800000000,0.500000000,1.000000000,90,6606,0.867544656,0.099303663,0.653070356,57.826846352,0.358897479,0.009024428,2.172543554
0.500000000,0.800000000,1.000000000,90,6606,0.867241901,0.100060551,0.652295452,58.809495192,0.445057371,0.006073820,2.412550726
0.500000000,0.800000000,2.000000000,90,6606,0.865576748,0.101725704,0.651608481,64.958657888,0.445060844,0.005450864,2.285966279
0.800000000,0.500000000,2.000000000,90,6606,0.862700575,0.103996367,0.651000673,72.017631177,0.358944685,0.005912556,2.035558483
0.800000000,0.800000000,1.000000000,90,6606,0.861943688,0.105510142,0.650604173,74.663026021,0.445065644,0.005139386,3.131928999
0.800000000,0.800000000,2.000000000,90,6606,0.858916137,0.106569785,0.649437972,89.431603819,0.445081953,0.004360691,2.823495381
